,Group,Site,Species
1,Group-iii,APC3,AM
2,Group-iii,APA17,AF
3,Group-i,APC4,AS
4,Group-ii,APA15,AN
5,Group-iii,APA16,CF
6,Group-iii,APA6,CF
7,Group-i,APA7,CF
8,Group-iii,APC3,CF
9,Group-i,APC3,CF
10,Group-iii,APC4,CF
11,Group-iii,APC2,CH
12,Group-iii,APC9,CH
13,Group-ii,APA17,CS
14,Group-i,APC1,ET
15,Group-ii,APA10,EA
16,Group-iii,APA16,HC
17,Group-ii,APA21,HC
18,Group-iii,APA21,HC
19,Group-iii,APC1,HC
20,Group-iii,APC4,HC
21,Group-iii,APC5,HC
22,Group-iii,APC6,HC
23,Group-iii,APA20,HL
24,Group-iii,APA17,JV
25,Group-i,APA20,LC
26,Group-ii,APC13,LC
27,Group-i,APC4,LC
28,Group-ii,APC5,LA
29,Group-ii,APC7,LA
30,Group-ii,APA10,LZ
31,Group-iii,APC1,MT
32,Group-i,APC4,OU
33,Group-ii,APC5,OU
34,Group-iii,APC1,PD
35,Group-iii,APA8,PC
36,Group-ii,APA15,PW
37,Group-ii,APA17,PW
38,Group-i,APA7,PW
39,Group-iii,APA7,PW
40,Group-iii,APC12,PW
41,Group-ii,APC5,PW
42,Group-iii,APC7,PW
43,Group-iii,APA12,SH
44,Group-ii,APA15,SP
45,Group-i,APA19,SP
46,Group-iii,APA21,SP
47,Group-iii,APC13,SP
48,Group-iii,APC6,SP
49,Group-ii,APC2,TS
50,Group-ii,APA18,TV
